SATD;Path;Line;Priority
* Set the number of milliseconds leeway to give before deciding a      * target is out of date.      * TODO: This is not yet used.      * @param granularity the granularity used to decide if a target is out of      *                    date.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/CopyPath.java;119-125;0.0
"* Chmod equivalent for unix-like environments.  *  * @since Ant 1.1  *  * @ant.task category=""filesystem""  * @todo Refactor so it does not extend from ExecuteOn and then turn around  *       and unsupport several attributes.";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/Chmod.java;30-38;0.0
* @TODO using taskName here is brittle- as a user could override it.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/ExecuteOn.java;298;0.0
"Assuming mime type in form ""text/XXXX- charset=XXXXXX""";ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/email/MimeMailer.java;267;0.0
XXX JDK 1.1 doesn't have File.getParentFile-;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/Native2Ascii.java;253;0.0
TODO: use ANTLR to parse the grammar file to do this.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/ANTLR.java;283;0.0
todo: is this comment still relevant ??;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java;220;0.0
todo: is this comment still relevant ??;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/TraXLiaison.java;246;0.0
should be the default- as it integrates better in ant.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/NetRexxC.java;97;0.0
* To the bootstrap path- this adds a reference to a classpath defined elsewhere.      * @param r a reference to a classpath      * @todo this needs to be documented in the HTML.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/Javah.java;241-245;0.0
* Borrowed from Tstamp      * @todo share all this time stuff across many tasks as a datetime datatype      * @since Ant 1.5;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/PropertyFile.java;616-620;0.0
* Adds a reference to a classpath defined elsewhere.      * @param r a reference to a classpath.      * @todo this needs to be documented in the HTML docs.;ApacheAnt-1.7.0/src/main/org/apache/tools/ant/taskdefs/optional/Javah.java;200-204;0.0
